Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
U1,ECE298_RS_74HCT541,SO20W,,TOP,270,977.953,1131.1
U4,ECE298_RS_74HCT541,SO20W,,TOP,90,2177.95,1031.1
POTENTIOMETER,,SIL-100-03,,TOP,0,1577.95,731.102
J7,PWM DC Motor,SIL-100-02R,,TOP,270,927.953,131.102
J8,DISTANCE SENSOR,CON5_1X5_U_2563,NorComp 25630501RP2,TOP,180,2127.95,681.102
J1,Speed Sensor,CONN-SIL4,,TOP,180,1827.95,531.102
J3,DUAL SEVEN SEGMENT,CONN-SIL10,,TOP,270,577.953,1131.1
SERVO MOTOR,,SIL-100-03,,TOP,180,2077.95,281.102
J4,ECE298_RS_2PINHDR,SIL-100-02,,TOP,90,1677.95,231.102
UART/USB CABLE,,SIL-100-03,,TOP,180,1127.95,631.102
U2,ECE298_RS_CMOS4050,SO16,,TOP,90,1577.95,1132.68
J5,TEST POINT,PIN,,TOP,270,2127.95,481.102
J2,ECE298_RS_2PINHDR,SIL-100-02,,TOP,270,576.378,1784.25
U3,ECE298_RS_L9110,SO8,,TOP,180,477.953,531.102
J6,LED_RGB,CONN-SIL4,,TOP,270,2127.95,1481.1
C3,100uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-90,1477.95,515.748
C4,100uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-90,1527.95,265.748
C5,100uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-270,577.953,2046.46
C6,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-180,1043.31,1181.1
C7,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-180,1043.31,481.102
C8,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-180,1293.31,231.102
C9,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-270,1870.08,183.071
C10,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-90,2327.95,515.748
C11,100uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-180,1043.31,831.102
C12,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-90,577.953,265.748
C13,0.1uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,-90,827.953,515.748
C14,100uF,CAPC4532X150,Digikey 478-1647-1-ND,BOT,0,762.598,731.102
R2,80,RESC1005X40,Digikey 311-180JCT-ND,BOT,0,2097.64,1731.1
R5,150,RESC1005X40,Digikey 311-180JCT-ND,BOT,0,2097.64,1131.1
R6,80,RESC1005X40,Digikey 311-180JCT-ND,BOT,-180,1958.27,1231.1
